User_ID,Book_ID,Book_Title,Recommendation_Score
276736,345386476X,Die letzte Zauberin. Valorians Kinder.,10.0
276736,3404139178,Das Lacheln der Fortuna: Historischer Roman,9.0
276736,3442449944,Achtung: Wuchtbrumme.,8.0
276736,3453195841,Das sÃ?Â¼Ã?Â?e VermÃ?Â¤chtnis. Ein Fall fÃ?Â¼r Hilary Tamar.,8.0
276736,3548255558,Das Blut des Teufels. Roman.,8.0
276747,080411935X,Standing in the Rainbow,9.0
276747,0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,8.0
276747,0425044440,Mommie Dearest : Joan Crawford,7.0
276747,1881316017,Heal Thyself for Health and Longevity,7.0
276747,0743448944,Mount Vernon Love Story : A Novel of George and Martha Washington,6.0
276748,0553272535,Night,10.0
276748,0749316047,Unknown Title,10.0
276748,0070212570,Fried Green Tomatoes at the Whistle Stop Cafe,10.0
276748,0140620109,Emma (Penguin Popular Classics),9.0
276748,0340653833,Trick of the Light,9.0
276754,0553262807,Always Coming Home,7.0
276754,1560252758,The Gangs of New York: An Informal History of the Underworld,5.0
276762,0440225442,One False Move (Myron Bolitar Mysteries (Paperback)),10.0
276762,1843606127,Passion in Paradise One: Paradise Awakening,10.0
276762,0451197038,Manner of Death,10.0
276762,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),10.0
276762,0449907481,A Thousand Acres (Ballantine Reader's Circle),10.0
276772,034541215X,Bimbos of the Death Sun,10.0
276772,0152167110,A Guide for Grown-ups: Essential Wisdom from the Collected Works of Antoine de Saint-ExupÂ¿ry,10.0
276772,0871591014,"Listen, Beloved",10.0
276772,0967384303,From May Sarton's Well: Writings of May Sarton,10.0
276772,0552146080,Unknown Title,10.0
276774,344275044X,Schneeland.,10.0
276774,3446200525,Der Welt den RÃ?Â¼cken.,10.0
276774,3453020219,Die Drei Lichter Der Kleinen Veronica,10.0
276774,3499101580,Alexis Sorbas. Abenteuer auf Kreta,10.0
276774,3458340491,Die MÃ?Â¤rchen. GroÃ?Â?druck.,10.0
276786,038550120X,A Painted House,10.0
276786,0552546933,Unknown Title,10.0
276786,0380005239,Go Ask Alice (Avon/Flare Book),10.0
276786,0609804138,The Sweet Potato Queens' Book of Love,10.0
276786,074343627X,Dreamcatcher,10.0
276796,014058501X,Coleridge: Selected Poetry and Prose (Penguin Poetry Library),8.0
276796,0552770841,Unknown Title,6.0
276796,0062548662,Meditations for Women Who Do Too Much - 10th Anniversary,4.0
276796,0749306742,The Irish Witch,2.0
276796,057119771X,Boy Who Kicked Pigs,1.0
276798,0525946233,The Darwin Awards II: Unnatural Selection,10.0
276798,856340375,Unknown Title,10.0
276798,0752261622,Extinct,10.0
276798,9076953422,"Yes, School's Out!",10.0
276798,9626347422,Arthur Conan Doyle: A Life,10.0
276800,0451190556,The Green Mile: The Bad Death of Eduard Delacroix (Green Mile Series),10.0
276800,0684867621,The Girl Who Loved Tom Gordon : A Novel,10.0
276800,0786011629,Vanished,10.0
276800,0307020711,Rudolph the Red-Nosed Reindeer (Little Golden Books Holiday Favorites Series),10.0
276800,0345296575,Lord Foul Bane,10.0
276804,0553582801,The Man Who Ate the 747,5.0
276808,0316284955,White Oleander : A Novel (Oprah's Book Club),8.0
276808,0380778726,"Ruby Slippers, Golden Tears",8.0
276808,0671617028,The Color Purple,8.0
276808,0804106304,The Joy Luck Club,7.0
276808,0375707972,The Reader,7.0
276811,0060175400,The Poisonwood Bible,10.0
276811,0375901582,Girl Coming in for a Landing,10.0
276811,0440228840,Demon in My View (Laurel-Leaf Books),10.0
276811,0385492081,Into Thin Air : A Personal Account of the Mt. Everest Disaster,10.0
276811,0064409597,Love That Dog (Joanna Cotler Books),10.0
276813,8478887121,LA Nochevieja De Montalbano (Narrativa),10.0
276813,8422648628,Unknown Title,10.0
276813,0099279274,Unknown Title,10.0
276813,8408043641,La Sombra Del Viento/The Shadow Of The Wind,10.0
276813,009941578X,Unknown Title,10.0
276814,0375823360,"His Dark Materials Trade Paper Boxed Set (Golden Compass, Subtle Knife, Amber Spyglass)",10.0
276814,0451522516,Elmer Gantry (Signet Classics (Paperback)),9.0
276814,0441004997,The Hero and the Crown,9.0
276814,0698119509,Spindle's End,9.0
276814,0385333498,The Sirens of Titan,9.0
276820,0394281829,Unknown Title,10.0
276820,0451166892,The Pillars of the Earth,8.0
276828,055327757,Unknown Title,10.0
276828,2070364658,Paris est une fÃ?Âªte,10.0
276828,0553286749,A Better Way to Live,10.0
276828,2266002767,Alexis Zorba,9.0
276828,2743603119,Un appartement Ã?Â  New York,9.0
276830,1561893692,Comprehensive Curriculum of Basic Skills: Grade 2 (Comprehensive Curriculum of Basic Skills),10.0
276830,1561893706,Comprehensive Curriculum of Basic Skills: Grade 3 (Comprehensive Curriculum of Basic Skills),9.0
276830,0425093328,The Cat Who Walks Through Walls,9.0
276830,0440236053,Writ of Execution,9.0
276830,0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),9.0
276837,0446310786,To Kill a Mockingbird,10.0
276837,0140386351,A Girl Named Disaster,10.0
276837,1573220221,The Color of Water: A Black Man's Tribute to His White Mother,10.0
276837,0671568175,Let Me Call You Sweetheart,10.0
276837,0553157213,Encyclopedia Brown Tracks Them Down (Encyclopedia Brown (Paperback)),10.0
276847,359615832X,Fremd kÃ?Â¼ssen.,9.999999999999998
276847,3442422337,Mondlaub.,9.0
276847,3453056884,Ayla Und Das Tal Der Grossen Mutter,8.0
276847,3570023915,Unknown Title,7.000000000000001
276847,3932069102,Unknown Title,7.000000000000001
276850,1560252480,Requiem for a Dream,10.0
276850,0553269224,Rilla of Ingleside (Anne of Green Gables Novels (Paperback)),10.0
276850,0898158990,Millennium Cookbook: Extraordinary Vegetarian Cuisine,10.0
276850,1891279041,Pro-sumer Power!,10.0
276850,0399128298,As a Man Thinketh (Family Inspirational Library),10.0
276853,8423648990,Unknown Title,9.0
276853,8434873613,"El Valle De Los Lobos (El Navegante. Fantasia, 11)",9.0
276853,8434886863,"LA Maldicion Del Maestro (El Navegante. Fantasia, 15)",9.0
276853,8420448435,El Pequeno Vampiro,7.0
276853,842060500X,Unknown Title,7.0
276854,1853260703,The Case-Book of Sherlock Holmes (Wordsworth Collection),10.0
276854,1853260584,Return of Sherlock Holmes (Wordsworth Classics),10.0
276854,0451202341,Back Roads,9.0
276854,0671028367,Deadly Decisions,8.0
276854,0440234743,The Testament,8.0
276859,0836218256,Something Under the Bed Is Drooling,10.0
276859,0836218981,The Indispensable Calvin And Hobbes,10.0
276859,0740713922,The Dog Is Not a Toy: House Rule #4,10.0
276859,0836218353,Yukon Ho!,10.0
276859,0836213122,There's Treasure Everywhere--A Calvin and Hobbes Collection,10.0
276861,3453217284,Blade Runner.,10.0
276861,3608938052,Der Hobbit oder Hin und zurÃ?Â¼ck.,10.0
276861,3596161509,Unknown Title,9.0
276861,3608932461,Nachrichten aus Mittelerde.,9.0
276861,3453863712,Die Orks.,9.0
276866,3453042905,Gevatter Tod. Roman. ( Fantasy).,10.0
276866,3446178694,Der Virtuose.,10.0
276866,3453126777,Ein gutes Omen.,10.0
276866,3453162994,Sommerschwestern.,10.0
276866,345386476X,Die letzte Zauberin. Valorians Kinder.,10.0
276872,0849942713,The Visitation,8.0
276872,0385336179,Shopaholic Ties the Knot,8.0
276872,0425168298,Secret Prey,8.0
276872,9061692229,Unknown Title,8.0
276872,051513239X,The Music of the Spheres,8.0
276873,0140431357,Tess of the D'Urbervilles (Penguin Classics),10.0
276873,0340739762,Number9dream,10.0
276873,0416101909,The Tempest (The Arden Shakespeare),10.0
276873,1853260983,Mayor of Casterbridge (Wordsworth Collection),10.0
276873,0099866005,Unknown Title,10.0
276875,880781174X,Il Gioco Del Rovescio (La Strega E Il Capitano),7.0
276875,887230931X,Unknown Title,5.999999999999999
276875,884522418X,Unknown Title,4.0
276878,059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),10.000000000000002
276878,0345447840,The Surgeon,10.000000000000002
276878,0373226950,McQueen's Heat,10.000000000000002
276878,0373240228,"Fall Of Shane Mackade (The Mackade Brothers) (Silhouette Special Edition, No 1022)",10.000000000000002
276878,0373700474,Dark Side of Love (Superromance),10.000000000000002
276884,8497592522,Unknown Title,10.0
276884,0743204239,Lo es : Una memoria,10.0
276884,8484601773,Unknown Title,10.0
276884,10058B1958,Unknown Title,10.0
276884,2591211009,Unknown Title,10.0
276887,034541215X,Bimbos of the Death Sun,10.0
276887,0226848620,Chinese Bell Murders (Judge Dee Mysteries),10.0
276887,0689824750,Among the Hidden,10.0
276887,0345368983,The Chronicles of Pern: First Fall (The Dragonriders of Pern),10.0
276887,0689851863,The School Story,10.0
276888,8806142100,Io Non Ho Paura,8.0
276896,0345444884,The Talisman,8.0
276896,0425194515,Midnight,6.0
276896,0743412028,Pay It Forward,4.0
276904,0064409597,Love That Dog (Joanna Cotler Books),10.0
276904,0689818769,Frindle,9.0
276904,0767905180,Jemima J: A Novel About Ugly Ducklings and Swans,9.0
276904,0439149770,Every Cloud Has a Silver Lining (Amazing Days of Abby Hayes),9.0
276904,0886779766,"Shapechanger's Song (Chronicles of the Cheysuli, Omnibus 1)",8.0
276905,0385512104,The Curious Incident of the Dog in the Night-Time (Today Show Book Club #13),10.0
276905,0061009032,All the Winters That Have Been,10.0
276905,0553289322,Scandal,10.0
276905,0553293257,Rendezvous,10.0
276905,0679723110,Grendel,10.0
276911,038550120X,A Painted House,10.0
276911,1570710295,365 Days of Creative Play: For Children 2 Yrs. & Up,10.0
276911,1570719381,Permission to Nap: Taking Time to Restore Your Spirit,10.0
276911,157071939X,Permission to Play: Taking Time to Renew Your Smile,10.0
276911,0552546933,Unknown Title,10.0
276912,0140177280,Unknown Title,7.0
276915,0671035452,Hot Springs (Earl Swagger Novels (Paperback)),9.0
276915,0345347099,The Traveler,8.0
276915,0345402391,Sharky's Machine,8.0
276915,0380778440,Blown Away,8.0
276915,0425168298,Secret Prey,8.0
276916,0553573403,"A Game of Thrones (A Song of Ice and Fire, Book 1)",10.0
276916,0553269224,Rilla of Ingleside (Anne of Green Gables Novels (Paperback)),10.0
276916,0689710895,The Grey King,10.0
276916,0689711522,Silver on the Tree,10.0
276916,0441003613,The Book of Atrix Wolfe,10.0
